seller_id,first_name,last_name,email,year of birth,country_of_origin
1,Brendan,Hernandez,rushdanielle@example.net,1948,Comoros
2,Jonathan,Harris,brittany88@example.org,1946,Belarus
3,Jimmy,Logan,howellrhonda@example.net,1985,Cambodia
4,Keith,Davis,kennethpeterson@example.org,1950,Canada
5,Jack,Fisher,tsmith@example.com,1994,Brazil
6,Denise,Lawson,palmerjesse@example.com,1950,Bulgaria
7,Sarah,Stone,perrysmith@example.com,1969,Cambodia
8,Robert,Fox,bguerrero@example.net,1946,Cyprus
9,Jennifer,Cox,angelareynolds@example.com,1968,Colombia
10,Keith,Wade,akeller@example.org,1970,Brazil
11,Virginia,Parker,collinskenneth@example.org,1946,Comoros
12,Shane,Rodriguez,elizabeth29@example.net,1986,Tanzania
13,Natasha,Brown,jeremiahmyers@example.com,1968,Algeria
14,Candace,Brown,amy37@example.net,1992,Albania
15,Wanda,Williams,martinezlisa@example.org,1954,Cameroon
16,Nathaniel,Lopez,robert16@example.org,1949,USA
17,Jay,Hall,qcooper@example.net,1969,Benin
18,Michelle,Day,carrstephanie@example.org,1994,Bahamas
19,Richard,Lang,ystone@example.org,1960,France
20,Paul,Moran,sandra56@example.net,1948,Chile
21,Jeremy,Hunt,melissa81@example.org,1987,South Africa
22,Spencer,Yates,timothyallen@example.com,1978,Rwanda
23,Virginia,Meyer,smithdaniel@example.org,1957,Croatia
24,Anna,Wagner,lfleming@example.org,1971,Bolivia
25,Jacob,Cobb,andrew86@example.com,1944,Rwandan
26,Craig,Miller,amber82@example.net,1969,Bangladesh
27,Shawn,Mason,michelle72@example.net,1944,Argentina
28,Steven,Franklin,svance@example.net,1967,Angola
29,Rebecca,Johnson,ghernandez@example.net,1985,Rwanda
30,Jennifer,Perez,kevin35@example.net,1947,Bolivia
31,Shannon,Kirby,karenhall@example.net,1979,USA
32,Heather,Bell,seth13@example.net,1965,Bangladesh
33,Kelli,Baker,dashley@example.org,1986,Angola
